Export Parameters
Hansatech Instruments Ltd Handy PEA Data
PEA Plus Version: 1.13
Format:2a
Comment1:                                                                                                   
Comment2:                                                                                                   
Comment3:                                                                                                   
Comment4:                                                                                                   

Calculate PI using Fo=TRUE

Record No,P. Light,P. Dur.(sec),Light,Gain,Dur.(sec),Flash,Date,Time,ID,Scaled,Scale,Offset,Protocol,Dark Offset, ,t for Fm,Area,Fo,Fm,Fv,F1,F2,F3,F4,F5,Fo/Fm,Fv/Fm,PI Inst.,Fv/Fo,Vj,Vi,dVG/dto,dV/dto,Sm,N,Sm/t(Fm),ABS/RC,DIo/RC,TRo/RC,ETo/RC,REo/RC,phi(Po),psi(Eo),phi(Eo),delta(Ro),phi(Ro),ABS/CSo,DIo/CSo,TRo/CSo,ETo/CSo,REo/CSo,ABS/CSm,DIo/CSm,TRo/CSm,ETo/CSm,REo/CSm,gamma(RC)/((1-gamma(RC)),phi(Po)/((1-phi(Po)),psi(Eo)/(1-psi(Eo)),PI abs,dRo/(1-dRo),PI total,DF abs,DF Total,kP / ABS * kF,kN / ABS * kF,Origin to F1,F1 to F3,F1 to F4,F1 to F5,F3 to F4,F4 to F5,F5 to Fm,
168,0,0,1500,1.0,1.00,1,01/01/00,04:09:46,       , NO,-,-,0,0,,700.00,31936,456,1580,1124,524,586,821,1145,1362,0.2886,0.711,0.5225,2.465,0.6130,0.8060,0.5516,1.0824,28.4130,50.1729,0.0406,2.4822,0.7164,1.7658,0.6834,0.342,0.7114,0.3870,0.2753,0.5011,0.1380,456.0000,131.6051,324.3949,125.5443,62.9165,1580.00000,456.0000,1124.00000,435.0000,218.0000,0.4029,2.465,0.6313,0.627,1.0046,0.6298,-0.2028,-0.2008,0.0016,0.0006,43,225,1098,9458,873,8360,22435,
169,0,0,1500,1.0,1.00,1,01/01/00,04:09:55,       , NO,-,-,0,0,,800.00,55807,438,1747,1309,476,513,679,1100,1406,0.2507,0.749,1.5029,2.989,0.5057,0.7395,0.2827,0.6137,42.6332,51.7351,0.0533,1.6195,0.4060,1.2135,0.5998,0.316,0.7493,0.4943,0.3703,0.5270,0.1952,438.0000,109.8134,328.1866,162.2129,85.4940,1747.00000,438.0000,1309.00000,647.0000,341.0000,0.6175,2.989,0.9773,1.804,1.1144,2.0098,0.2561,0.3032,0.0017,0.0006,51,293,1606,14196,1314,12589,41560,
170,0,0,1500,1.0,1.00,1,01/01/00,04:10:49,       , NO,-,-,0,0,,600.00,35968,496,1720,1224,580,660,940,1238,1469,0.2884,0.712,0.4766,2.468,0.6062,0.7949,0.6536,1.2092,29.3853,58.6122,0.0490,2.8029,0.8083,1.9946,0.7855,0.409,0.7116,0.3938,0.2802,0.5207,0.1459,496.0000,143.0326,352.9674,138.9953,72.3814,1720.00000,496.0000,1224.00000,482.0000,251.0000,0.3568,2.468,0.6496,0.572,1.0866,0.6214,-0.2427,-0.2066,0.0014,0.0006,47,237,1164,10556,927,9392,25365,
171,0,0,1500,1.0,1.00,1,01/01/00,04:14:03,       , NO,-,-,0,0,,700.00,38910,438,1528,1090,488,533,722,1054,1265,0.2866,0.713,0.7407,2.489,0.5651,0.7587,0.4128,0.8685,35.6970,54.8590,0.0510,2.1543,0.6175,1.5368,0.6683,0.371,0.7134,0.4349,0.3102,0.5549,0.1721,438.0000,125.5524,312.4476,135.8717,75.3887,1528.00000,438.0000,1090.00000,474.0000,263.0000,0.4642,2.489,0.7695,0.889,1.2464,1.1079,-0.0512,0.0445,0.0016,0.0007,42,230,1182,10328,952,9146,28540,
172,0,0,1500,1.0,1.00,1,01/01/00,04:14:21,       , NO,-,-,0,0,,700.00,29841,433,1485,1052,502,570,807,1097,1275,0.2916,0.708,0.4464,2.430,0.6312,0.8004,0.6464,1.1850,28.3659,53.2572,0.0405,2.6503,0.7728,1.8775,0.6925,0.375,0.7084,0.3688,0.2613,0.5412,0.1414,433.0000,126.2552,306.7448,113.1340,61.2323,1485.00000,433.0000,1052.00000,388.0000,210.0000,0.3773,2.430,0.5843,0.536,1.1798,0.6320,-0.2711,-0.1993,0.0016,0.0007,40,205,982,8591,777,7609,21210,
173,0,0,1500,1.0,1.00,1,01/01/00,04:14:32,       , NO,-,-,0,0,,600.00,20527,428,1314,886,501,573,802,1011,1147,0.3257,0.674,0.2827,2.070,0.6580,0.8115,0.8126,1.4071,23.1685,49.5426,0.0386,3.1713,1.0330,2.1384,0.7313,0.403,0.6743,0.3420,0.2306,0.5512,0.1271,428.0000,139.4094,288.5906,98.6941,54.3957,1314.00000,428.0000,886.0000,303.0000,167.0000,0.3153,2.070,0.5197,0.339,1.2279,0.4166,-0.4695,-0.3803,0.0016,0.0008,34,161,748,6524,587,5775,13970,
174,0,0,1500,1.0,1.00,1,01/01/00,04:14:57,       , NO,-,-,0,0,,700.00,46470,481,2023,1542,576,664,992,1357,1705,0.2378,0.762,0.7962,3.206,0.5681,0.7938,0.5707,1.1046,30.1361,58.5979,0.0431,2.5510,0.6065,1.9444,0.8398,0.401,0.7622,0.4319,0.3292,0.4775,0.1572,481.0000,114.3653,366.6347,158.3520,75.6095,2023.00000,481.0000,1542.00000,666.0000,318.0000,0.3920,3.206,0.7603,0.955,0.9138,0.8731,-0.0198,-0.0589,0.0016,0.0005,59,306,1562,14116,1256,12553,32295,
175,0,0,1500,1.0,1.00,1,01/01/00,04:15:11,       , NO,-,-,0,0,,400.00,28362,459,1675,1216,573,685,1014,1260,1472,0.2740,0.726,0.3595,2.649,0.6587,0.8331,0.9211,1.5214,23.3237,53.8686,0.0583,3.1814,0.8718,2.3096,0.7882,0.386,0.7260,0.3413,0.2478,0.4892,0.1212,459.0000,125.7797,333.2203,113.7224,55.6281,1675.00000,459.0000,1216.00000,415.0000,203.0000,0.3143,2.649,0.5181,0.431,0.9575,0.4131,-0.3651,-0.3839,0.0016,0.0006,46,212,995,8911,783,7916,19405,
176,0,0,1500,1.0,1.00,1,01/01/00,04:15:22,       , NO,-,-,0,0,,600.00,41963,500,1898,1398,601,698,1020,1336,1635,0.2634,0.737,0.5564,2.796,0.5980,0.8119,0.6938,1.2399,30.0166,62.2354,0.0500,2.8149,0.7415,2.0734,0.8335,0.390,0.7366,0.4020,0.2961,0.4680,0.1386,500.0000,131.7176,368.2824,148.0506,69.2835,1898.00000,500.0000,1398.00000,562.0000,263.0000,0.3553,2.796,0.6722,0.668,0.8796,0.5873,-0.1754,-0.2311,0.0015,0.0005,53,267,1335,11880,1068,10545,30030,
177,0,0,1500,1.0,1.00,1,01/01/00,04:16:21,       , NO,-,-,0,0,,700.00,46838,481,1933,1452,550,613,878,1297,1618,0.2488,0.751,0.9082,3.019,0.5620,0.7831,0.4339,0.9114,32.2578,52.3134,0.0461,2.1590,0.5372,1.6217,0.7103,0.352,0.7512,0.4380,0.3290,0.4953,0.1630,481.0000,119.6901,361.3099,158.2597,78.3833,1933.00000,481.0000,1452.00000,636.0000,315.0000,0.4632,3.019,0.7794,1.090,0.9813,1.0694,0.0373,0.0291,0.0016,0.0005,56,304,1558,13862,1253,12304,32920,
178,0,0,1500,1.0,1.00,1,01/01/00,04:16:48,       , NO,-,-,0,0,,700.00,59900,619,2206,1587,687,749,1007,1419,1832,0.2806,0.719,0.9353,2.564,0.5041,0.7643,0.3907,0.8150,37.7441,61.0197,0.0539,2.2472,0.6306,1.6167,0.8017,0.381,0.7194,0.4959,0.3568,0.4752,0.1695,619.0000,173.6904,445.3096,220.8309,104.9438,2206.00000,619.0000,1587.00000,787.0000,374.0000,0.4450,2.564,0.9838,1.122,0.9056,1.0164,0.0501,0.0070,0.0012,0.0005,62,339,1846,16608,1507,14762,43230,
179,0,0,1500,1.0,1.00,1,01/01/00,04:17:02,       , NO,-,-,0,0,,700.00,55731,508,2145,1637,588,659,958,1389,1784,0.2368,0.763,1.0329,3.222,0.5382,0.7795,0.4337,0.9163,34.0446,57.9646,0.0486,2.2310,0.5284,1.7026,0.7863,0.375,0.7632,0.4618,0.3524,0.4775,0.1683,508.0000,120.3096,387.6904,179.0434,85.4956,2145.00000,508.0000,1637.00000,756.0000,361.0000,0.4482,3.222,0.8581,1.239,0.9139,1.1328,0.0932,0.0541,0.0015,0.0005,63,342,1793,16178,1451,14385,39490,
180,0,0,1500,1.0,1.00,1,01/01/00,04:17:26,       , NO,-,-,0,0,,800.00,52656,442,1771,1329,490,527,726,1150,1454,0.2496,0.750,1.2335,3.007,0.5327,0.7615,0.2784,0.7123,39.6205,52.9766,0.0495,1.7818,0.4447,1.3371,0.6248,0.319,0.7504,0.4673,0.3506,0.5105,0.1790,442.0000,110.3128,331.6872,154.9870,79.1158,1771.00000,442.0000,1329.00000,621.0000,317.0000,0.5612,3.007,0.8771,1.480,1.0428,1.5434,0.1703,0.1885,0.0017,0.0006,52,291,1549,13519,1258,11970,39085,
181,0,0,1500,1.0,1.00,1,01/01/00,04:17:37,       , NO,-,-,0,0,,280.00,26380,419,1597,1178,519,619,933,1203,1404,0.2624,0.738,0.3974,2.811,0.6655,0.8362,0.8489,1.4544,22.3937,48.9386,0.0800,2.9627,0.7773,2.1854,0.7309,0.358,0.7376,0.3345,0.2467,0.4898,0.1209,419.0000,109.9317,309.0683,103.3726,50.6368,1597.00000,419.0000,1178.00000,394.0000,193.0000,0.3375,2.811,0.5026,0.477,0.9602,0.4579,-0.3216,-0.3392,0.0018,0.0006,44,211,974,8540,762,7567,17795,
182,0,0,1500,1.0,1.00,1,01/01/00,04:17:56,       , NO,-,-,0,0,,280.00,32987,466,1859,1393,562,650,983,1327,1621,0.2507,0.749,0.5762,2.989,0.6181,0.8291,0.6317,1.2371,23.6806,47.3980,0.0846,2.6711,0.6696,2.0015,0.7644,0.342,0.7493,0.3819,0.2862,0.4474,0.1280,466.0000,116.8133,349.1867,133.3577,59.6600,1859.00000,466.0000,1393.00000,532.0000,238.0000,0.3744,2.989,0.6179,0.691,0.8095,0.5598,-0.1602,-0.2520,0.0016,0.0005,53,268,1287,11239,1019,9952,21695,
183,0,0,1500,1.0,1.00,1,01/01/00,04:19:05,       , NO,-,-,0,0,,800.00,29382,418,1454,1036,480,541,759,1042,1241,0.2875,0.713,0.5334,2.478,0.6023,0.7944,0.5888,1.0972,28.3615,51.6627,0.0355,2.5565,0.7350,1.8216,0.7244,0.375,0.7125,0.3977,0.2834,0.5170,0.1465,418.0000,120.1678,297.8322,118.4429,61.2338,1454.00000,418.0000,1036.00000,412.0000,213.0000,0.3912,2.478,0.6603,0.640,1.0704,0.6851,-0.1938,-0.1642,0.0017,0.0007,40,206,1023,8748,816,7725,20595,
184,0,0,1500,1.0,1.00,1,01/01/00,04:19:33,       , NO,-,-,0,0,,600.00,22568,395,1321,926,470,544,778,999,1146,0.2990,0.701,0.3454,2.344,0.6523,0.8110,0.7991,1.3787,24.3714,51.5135,0.0406,3.0153,0.9016,2.1137,0.7350,0.399,0.7010,0.3477,0.2438,0.5435,0.1325,395.0000,118.1113,276.8887,96.2831,52.3278,1321.00000,395.0000,926.0000,322.0000,175.0000,0.3316,2.344,0.5331,0.414,1.1905,0.4934,-0.3825,-0.3068,0.0018,0.0008,35,170,793,7098,623,6305,15435,
185,0,0,1500,1.0,1.00,1,01/01/00,04:19:43,       , NO,-,-,0,0,,700.00,27304,585,1532,947,641,695,887,1127,1304,0.3819,0.618,0.3355,1.619,0.5723,0.7592,0.5702,1.0630,28.8320,53.5502,0.0412,3.0047,1.1473,1.8573,0.7943,0.447,0.6181,0.4277,0.2644,0.5630,0.1488,585.0000,223.3845,361.6155,154.6508,87.0627,1532.00000,585.0000,947.0000,405.0000,228.0000,0.3328,1.619,0.7472,0.403,1.2881,0.5186,-0.3951,-0.2852,0.0011,0.0007,36,190,978,8598,788,7620,18670,
186,0,0,1500,1.0,1.00,1,01/01/00,04:21:28,       , NO,-,-,0,0,,400.00,11994,568,1167,599,628,687,854,993,1070,0.4867,0.513,0.0823,1.055,0.7095,0.8381,0.9850,1.5915,20.0241,44.9169,0.0501,4.3702,2.1270,2.2431,0.6516,0.363,0.5133,0.2905,0.1491,0.5575,0.0831,568.0000,276.4559,291.5441,84.6889,47.2117,1167.00000,568.0000,599.0000,174.0000,97.0000,0.2288,1.055,0.4094,0.099,1.2597,0.1245,-1.0053,-0.9050,0.0009,0.0009,22,102,453,3737,351,3284,8235,
187,0,0,1500,1.0,1.00,1,01/01/00,04:21:37,       , NO,-,-,0,0,,500.00,18934,606,1387,781,679,750,946,1099,1237,0.4369,0.563,0.1537,1.289,0.6312,0.8079,0.9091,1.4511,24.2435,55.7321,0.0485,4.0826,1.7837,2.2989,0.8477,0.442,0.5631,0.3688,0.2076,0.5208,0.1081,606.0000,264.7700,341.2300,125.8313,65.5371,1387.00000,606.0000,781.0000,288.0000,150.0000,0.2449,1.289,0.5842,0.184,1.0870,0.2004,-0.7342,-0.6980,0.0009,0.0007,29,138,679,5890,540,5211,13015,
188,0,0,1500,1.0,1.00,1,01/01/00,04:21:53,       , NO,-,-,0,0,,1.20,0,432,938,506,485,528,722,965,1117,0.4606,0.539,-0.0147,1.171,1.0534,1.3538,0.8498,1.9104,0.0000,0.0000,0.0000,3.3620,1.5484,1.8136,-0.0968,-0.642,0.5394,-0.0534,-0.0288,6.6296,-0.1908,432.0000,198.9595,233.0405,-12.4350,-82.4392,938.0000,432.0000,506.0000,-27.0000,-179.0000,0.2974,1.171,-0.0507,-0.018,-1.1776,0.0208,INF,-1.6823,0.0012,0.0011,19,82,0,0,0,0,0,
189,0,0,1500,1.0,1.00,1,01/01/00,04:22:18,       , NO,-,-,0,0,,300.00,35126,402,1774,1372,482,552,847,1216,1496,0.2266,0.773,0.8275,3.413,0.5933,0.7974,0.5102,1.0811,25.6021,46.6540,0.0853,2.3562,0.5339,1.8223,0.7411,0.369,0.7734,0.4067,0.3145,0.4982,0.1567,402.0000,91.0958,310.9042,126.4464,62.9966,1774.00000,402.0000,1372.00000,558.0000,278.0000,0.4244,3.413,0.6855,0.993,0.9929,0.9858,-0.0031,-0.0062,0.0019,0.0006,53,276,1359,12183,1083,10825,22890,
190,0,0,1500,1.0,1.00,1,01/01/00,04:22:25,       , NO,-,-,0,0,,700.00,18430,561,1358,797,631,706,913,1089,1204,0.4131,0.587,0.1593,1.421,0.6625,0.8068,0.9410,1.4722,23.1242,51.3871,0.0330,3.7864,1.5642,2.2222,0.7500,0.429,0.5869,0.3375,0.1981,0.5725,0.1134,561.0000,231.7533,329.2467,111.1259,63.6186,1358.00000,561.0000,797.0000,269.0000,154.0000,0.2641,1.421,0.5095,0.191,1.3391,0.2560,-0.7186,-0.5918,0.0010,0.0007,30,141,660,5875,519,5215,12525,
191,0,0,1500,1.0,1.00,1,01/01/00,04:22:33,       , NO,-,-,0,0,,700.00,35332,564,1654,1090,621,676,887,1193,1398,0.3410,0.659,0.4544,1.933,0.5771,0.7651,0.5046,0.9878,32.4151,55.4852,0.0463,2.5974,0.8857,1.7117,0.7239,0.402,0.6590,0.4229,0.2787,0.5553,0.1548,564.0000,192.3192,371.6808,157.1971,87.2938,1654.00000,564.0000,1090.00000,461.0000,256.0000,0.3850,1.933,0.7329,0.545,1.2488,0.6810,-0.2633,-0.1669,0.0012,0.0006,42,224,1135,10050,911,8916,25240,
192,0,0,1500,1.0,1.00,1,01/01/00,04:23:13,       , NO,-,-,0,0,,500.00,14044,398,1123,725,483,575,782,910,1023,0.3544,0.646,0.1631,1.822,0.7062,0.8621,1.2690,1.7655,19.3706,48.4264,0.0387,3.8724,1.3724,2.5000,0.7345,0.345,0.6456,0.2938,0.1897,0.4695,0.0890,398.0000,141.0543,256.9457,75.4889,35.4408,1123.00000,398.0000,725.0000,213.0000,100.0000,0.2582,1.822,0.4160,0.196,0.8850,0.1732,-0.7084,-0.7615,0.0016,0.0009,27,114,522,4422,407,3900,9595,
193,0,0,1500,1.0,1.00,1,01/01/00,04:23:25,       , NO,-,-,0,0,,500.00,19334,434,1362,928,522,611,865,1060,1211,0.3186,0.681,0.2552,2.138,0.6746,0.8373,0.9591,1.5481,20.8339,47.8137,0.0417,3.3683,1.0733,2.2950,0.7469,0.373,0.6814,0.3254,0.2217,0.5000,0.1109,434.0000,138.2937,295.7063,96.2320,48.1160,1362.00000,434.0000,928.0000,302.0000,151.0000,0.2969,2.138,0.4824,0.306,1.0000,0.3063,-0.5139,-0.5139,0.0016,0.0007,35,161,746,6364,586,5618,12935,
194,0,0,1500,1.0,1.00,1,01/01/00,04:23:42,       , NO,-,-,0,0,,600.00,38635,469,1825,1356,571,674,1003,1299,1573,0.2570,0.743,0.5290,2.891,0.6121,0.8142,0.7596,1.3127,28.4919,61.1030,0.0475,2.8863,0.7417,2.1446,0.8319,0.399,0.7430,0.3879,0.2882,0.4791,0.1381,469.0000,120.5266,348.4734,135.1748,64.7605,1825.00000,469.0000,1356.00000,526.0000,252.0000,0.3465,2.891,0.6337,0.635,0.9197,0.5838,-0.1974,-0.2337,0.0016,0.0005,51,253,1246,11234,992,9988,27350,
195,0,0,1500,1.0,1.00,1,01/01/00,04:23:56,       , NO,-,-,0,0,,700.00,48167,506,2035,1529,593,673,988,1376,1705,0.2486,0.751,0.7760,3.022,0.5690,0.7842,0.5232,1.0508,31.5023,58.1767,0.0450,2.4579,0.6112,1.8467,0.7959,0.399,0.7514,0.4310,0.3238,0.5008,0.1622,506.0000,125.8162,380.1838,163.8595,82.0541,2035.00000,506.0000,1529.00000,659.0000,330.0000,0.4069,3.022,0.7575,0.931,1.0030,0.9341,-0.0309,-0.0296,0.0015,0.0005,59,309,1567,14613,1258,13046,33495,
196,0,0,1500,1.0,1.00,1,01/01/00,04:24:10,       , NO,-,-,0,0,,700.00,44394,499,1945,1446,579,654,944,1307,1624,0.2566,0.743,0.7722,2.898,0.5588,0.7780,0.5187,1.0258,30.7014,56.3619,0.0439,2.4693,0.6335,1.8358,0.8100,0.408,0.7434,0.4412,0.3280,0.5031,0.1650,499.0000,128.0211,370.9789,163.6823,82.3542,1945.00000,499.0000,1446.00000,638.0000,321.0000,0.4050,2.898,0.7896,0.927,1.0126,0.9383,-0.0331,-0.0277,0.0015,0.0005,56,294,1516,13864,1222,12347,30475,
197,0,0,1500,1.0,1.00,1,01/01/00,04:24:25,       , NO,-,-,0,0,,0.03,0,4094,4095,1,4095,4095,4095,4095,4095,0.9998,0.000,0.0000,0.000,1.0000,1.0000,0.0000,3.3333,0.0000,0.0000,0.0000,13650.000000,13646.666667,3.3333,0.0000,0.000,0.0002,0.0000,0.0000,INF,0.0000,4094.00000,4093.00024,0.9998,0.0000,0.0000,4095.00000,4094.00000,1.0000,0.0000,0.0000,0.0001,0.000,0.0000,0.000,INF,INF,INF,INF,0.0000,0.0002,0,0,0,0,0,0,0,
198,0,0,1500,1.0,1.00,1,01/01/00,04:25:27,       , NO,-,-,0,0,,600.00,30461,533,1660,1127,626,717,994,1243,1455,0.3211,0.679,0.3246,2.114,0.6300,0.8181,0.8075,1.3635,27.0287,58.4988,0.0450,3.1879,1.0236,2.1643,0.8008,0.394,0.6789,0.3700,0.2512,0.4916,0.1235,533.0000,171.1380,361.8620,133.8922,65.8223,1660.00000,533.0000,1127.00000,417.0000,205.0000,0.3137,2.114,0.5873,0.390,0.9670,0.3767,-0.4094,-0.4240,0.0013,0.0006,43,206,1004,8769,798,7764,21650,
199,0,0,1500,1.0,1.00,1,01/01/00,04:25:37,       , NO,-,-,0,0,,700.00,31207,549,1598,1049,622,693,940,1198,1378,0.3436,0.656,0.3208,1.911,0.6187,0.7903,0.6768,1.2425,29.7496,59.7436,0.0425,3.0592,1.0510,2.0082,0.7658,0.421,0.6564,0.3813,0.2503,0.5500,0.1377,549.0000,188.6114,360.3886,137.4218,75.5820,1598.00000,549.0000,1049.00000,400.0000,220.0000,0.3269,1.911,0.6163,0.385,1.2222,0.4705,-0.4146,-0.3274,0.0012,0.0006,40,201,974,8817,773,7843,22350,
200,0,0,1500,1.0,1.00,1,01/01/00,04:25:48,       , NO,-,-,0,0,,600.00,28471,505,1655,1150,608,713,1027,1287,1464,0.3051,0.695,0.2789,2.277,0.6800,0.8339,0.9130,1.5130,24.7571,55.0862,0.0413,3.2022,0.9771,2.2251,0.7120,0.370,0.6949,0.3200,0.2224,0.5190,0.1154,505.0000,154.0937,350.9063,112.2900,58.2810,1655.00000,505.0000,1150.00000,368.0000,191.0000,0.3123,2.277,0.4706,0.335,1.0791,0.3611,-0.4754,-0.4423,0.0014,0.0006,43,202,920,8043,718,7122,20385,
201,0,0,1500,1.0,1.00,1,01/01/00,04:27:45,       , NO,-,-,0,0,,600.00,33979,439,1697,1258,529,613,918,1240,1462,0.2587,0.741,0.5067,2.866,0.6367,0.8132,0.6677,1.2692,27.0101,53.8403,0.0450,2.6890,0.6956,1.9933,0.7241,0.372,0.7413,0.3633,0.2693,0.5142,0.1385,439.0000,113.5657,325.4343,118.2222,60.7926,1697.00000,439.0000,1258.00000,457.0000,235.0000,0.3719,2.866,0.5705,0.608,1.0586,0.6436,-0.2161,-0.1914,0.0017,0.0006,48,240,1133,10206,894,9073,23725,
202,0,0,1500,1.0,1.00,1,01/01/00,04:28:04,       , NO,-,-,0,0,,700.00,28876,460,1489,1029,534,604,849,1101,1292,0.3089,0.691,0.3855,2.237,0.6229,0.8086,0.6803,1.2601,28.0619,56.7658,0.0401,2.9272,0.9043,2.0229,0.7628,0.387,0.6911,0.3771,0.2606,0.5077,0.1323,460.0000,142.1088,317.8912,119.8657,60.8596,1489.00000,460.0000,1029.00000,388.0000,197.0000,0.3416,2.237,0.6053,0.463,1.0314,0.4771,-0.3348,-0.3214,0.0015,0.0007,39,196,950,8276,754,7327,20560,
203,0,0,1500,1.0,1.00,1,01/01/00,04:28:17,       , NO,-,-,0,0,,600.00,19940,452,1249,797,535,621,838,1020,1123,0.3619,0.638,0.1669,1.763,0.7127,0.8419,1.0790,1.6144,25.0187,56.6739,0.0417,3.5499,1.2847,2.2653,0.6509,0.358,0.6381,0.2873,0.1833,0.5502,0.1009,452.0000,163.5741,288.4259,82.8727,45.5981,1249.00000,452.0000,797.0000,229.0000,126.0000,0.2817,1.763,0.4032,0.200,1.2233,0.2450,-0.6984,-0.6109,0.0014,0.0008,30,133,589,5130,456,4541,14780,
204,0,0,1500,1.0,1.00,1,01/01/00,04:29:07,       , NO,-,-,0,0,,1.20,69,480,1274,794,556,625,905,1319,1643,0.3768,0.623,-0.0273,1.654,1.0567,1.4647,0.8690,1.7842,0.0874,0.1475,0.0728,2.7093,1.0208,1.6885,-0.0957,-0.785,0.6232,-0.0567,-0.0353,8.2000,-0.2896,480.0000,180.8477,299.1523,-16.9545,-139.0267,1274.00000,480.0000,794.0000,-45.0000,-369.0000,0.3691,1.654,-0.0536,-0.033,-1.1389,0.0373,INF,-1.4283,0.0013,0.0008,30,135,17,0,0,0,0,
205,0,0,1500,1.0,1.00,1,01/01/00,04:29:19,       , NO,-,-,0,0,,700.00,43796,517,1916,1399,592,665,929,1269,1608,0.2698,0.730,0.7757,2.706,0.5375,0.7798,0.5218,0.9817,31.3055,57.1713,0.0447,2.5011,0.6749,1.8262,0.8446,0.402,0.7302,0.4625,0.3377,0.4760,0.1608,517.0000,139.5037,377.4963,174.5819,83.1086,1916.00000,517.0000,1399.00000,647.0000,308.0000,0.3998,2.706,0.8604,0.931,0.9086,0.8457,-0.0311,-0.0728,0.0014,0.0005,54,286,1521,13227,1235,11707,30515,
206,0,0,1500,1.0,1.00,1,01/01/00,04:29:32,       , NO,-,-,0,0,,700.00,35774,508,1720,1212,584,652,913,1247,1473,0.2953,0.705,0.4909,2.386,0.6097,0.7962,0.5611,1.1139,29.5166,53.9208,0.0422,2.5925,0.7657,1.8268,0.7129,0.372,0.7047,0.3903,0.2750,0.5222,0.1436,508.0000,150.0372,357.9628,139.7000,72.9512,1720.00000,508.0000,1212.00000,473.0000,247.0000,0.3857,2.386,0.6401,0.589,1.0929,0.6438,-0.2299,-0.1913,0.0014,0.0006,46,241,1179,10278,938,9099,25450,
207,0,0,1500,1.0,1.00,1,01/01/00,04:31:18,       , NO,-,-,0,0,,700.00,41978,485,1854,1369,573,655,966,1318,1584,0.2616,0.738,0.5807,2.823,0.6085,0.8028,0.5990,1.1712,30.6632,59.0195,0.0438,2.6067,0.6819,1.9248,0.7536,0.380,0.7384,0.3915,0.2891,0.5037,0.1456,485.0000,126.8743,358.1257,140.2157,70.6311,1854.00000,485.0000,1369.00000,536.0000,270.0000,0.3836,2.823,0.6435,0.697,1.0150,0.7073,-0.1569,-0.1504,0.0015,0.0005,52,268,1308,11886,1040,10578,30040,
208,0,0,1500,1.0,1.00,1,01/01/00,04:31:31,       , NO,-,-,0,0,,600.00,34485,474,1698,1224,567,658,955,1236,1472,0.2792,0.721,0.4470,2.582,0.6225,0.8154,0.7435,1.3099,28.1743,59.2819,0.0470,2.9189,0.8148,2.1041,0.7942,0.389,0.7208,0.3775,0.2721,0.4892,0.1331,474.0000,132.3180,341.6820,128.9682,63.0883,1698.00000,474.0000,1224.00000,462.0000,226.0000,0.3426,2.582,0.6063,0.536,0.9576,0.5136,-0.2705,-0.2893,0.0015,0.0006,46,229,1115,9979,886,8864,24460,
209,0,0,1500,1.0,1.00,1,01/01/00,04:31:52,       , NO,-,-,0,0,,900.00,1350817,41,1991,1950,39,42,42,44,44,0.0206,0.979,22673.578359,47.561,0.0015,0.0015,0.0154,0.0017,692.7266,769.6962,0.7697,1.1345,0.0234,1.1111,1.1094,1.109,0.9794,0.9985,0.9779,1.0000,0.9779,41.0000,0.8443,40.1557,40.0939,40.0939,1991.00000,41.0000,1950.00000,1947.00000,1947.00000,0.8815,47.561,649.0000,27208.294,INF,INF,4.4347,INF,0.0239,0.0005,78,487,3798,58354,3311,54555,1292385,
210,0,0,1500,1.0,1.00,1,01/01/00,04:33:26,       , NO,-,-,0,0,,600.00,18742,456,1244,788,515,573,758,943,1054,0.3666,0.633,0.2728,1.728,0.6180,0.7589,0.7360,1.2775,23.7842,49.1638,0.0396,3.2633,1.1962,2.0671,0.7896,0.498,0.6334,0.3820,0.2420,0.6312,0.1527,456.0000,167.1511,288.8489,110.3344,69.6463,1244.00000,456.0000,788.0000,301.0000,190.0000,0.3064,1.728,0.6181,0.327,1.7117,0.5602,-0.4851,-0.2516,0.0014,0.0008,30,148,729,6752,581,6023,11960,
211,0,0,1500,1.0,1.00,1,01/01/00,04:33:43,       , NO,-,-,0,0,,800.00,50533,473,1943,1470,528,576,793,1171,1529,0.2434,0.757,1.4181,3.108,0.4748,0.7184,0.3265,0.7256,34.3765,52.5333,0.0430,2.0199,0.4917,1.5282,0.8026,0.430,0.7566,0.5252,0.3973,0.5363,0.2131,473.0000,115.1462,357.8538,187.9341,100.7833,1943.00000,473.0000,1470.00000,772.0000,414.0000,0.4951,3.108,1.1060,1.702,1.1564,1.9679,0.2309,0.2940,0.0016,0.0005,57,321,1796,16476,1475,14680,34000,
212,0,0,1500,1.0,1.00,1,01/01/00,04:33:55,       , NO,-,-,0,0,,800.00,49628,443,1787,1344,507,563,812,1194,1460,0.2479,0.752,0.9167,3.034,0.5588,0.7567,0.4167,0.9152,36.9254,60.4771,0.0462,2.1777,0.5398,1.6378,0.7226,0.398,0.7521,0.4412,0.3318,0.5514,0.1830,443.0000,109.8204,333.1796,147.0056,81.0638,1787.00000,443.0000,1344.00000,593.0000,327.0000,0.4592,3.034,0.7896,1.100,1.2293,1.3523,0.0414,0.1311,0.0017,0.0006,52,282,1442,13266,1160,11824,36310,
